0.44876	0.27822
0.79669	0.95215
0.0021948	-0.0095514
1.3257	1.1338
0.60658	0.79444
0.45181	0.5194
1.4259	1.2245
0.69097	0.89519
0.43147	0.19898
0.12694	-0.10319
0.87327	1.1176
0.2296	0.32269
0.10964	0.047986
0.87085	0.87301
0.43052	0.56227
0.54288	0.31732
1.0872	1.2002
1.2875	1.3881
0.52187	0.50132
1.4426	1.4838
2.9304	1.3499
1.8091	0.14437
2.6524	1.102
2.4233	1.1332
2.8784	1.2414
2.4038	0.83431
2.5532	0.96549
2.6155	0.9073
2.0777	0.58399
1.8773	0.54369
1.5551	0.25745
2.2082	0.81998
2.4676	0.90911
1.9185	0.31746
2.2768	0.87265
1.8685	0.55873
1.9463	0.65854
2.4757	0.76634
2.8371	1.3284
2.7917	1.1058
3.3149	0.19133
3.5986	0.79062
4.3318	1.18
3.3848	0.19547
4.4502	1.472
3.9287	0.83605
3.248	0.18904
4.2393	1.3851
3.9835	1.1531
3.8197	0.9098
3.377	0.33545
3.0602	0.13168
3.3501	0.2071
3.5417	0.6003
3.9502	1.0378
4.4791	1.5297
3.3107	0.23389
4.1356	1.0678
4.3295	1.1652
3.7083	0.85603
